,Area Name,Pin Code,Latitude,Longitude
272,Pandara Road,110003,28.608110000000067,77.22985000000006
273,Pragati Vihar,110003,28.586700000000064,77.23484000000008
274,Patrachar Road,110007,28.708930000000066,77.12372000000005
275,Patrachar Vidyala,110007,28.708930000000066,77.12372000000005
276,Partap Nagar,110007,28.669770000000028,77.19575000000003
277,Pragati Vihar,110007,28.586700000000064,77.23484000000008
278,Patel Nagar East,110008,28.64817000000005,77.17833000000007
279,Patel Nagar,110008,28.647830000000056,77.16449000000006
280,Patel Nagar West,110008,28.647830000000056,77.16449000000006
281,Patel Nagar South,110008,28.645610000000033,77.16682000000003
282,Pushpa Vihar Sector I,110017,28.524296679491396,77.2259473553745
283,Panchseel Enclave,110017,28.544290000000046,77.22651000000008
284,Postal Saving Bureau,110022,28.634100000000046,77.21689000000003
285,Punjabi Bagh Sector Iii,110026,28.666340000000048,77.12500000000006
286,Punjabi Bagh,110026,28.666340000000048,77.12500000000006
287,Pitampura,110034,28.69590000000005,77.13725000000005
288,Power House,110035,28.56747000000007,77.19934000000006
289,Palam Enclave,110045,30.657490000000053,76.81477000000007
290,Palam,110045,28.591060000000027,77.09117000000003
291,Paharganj,110055,28.64596000000006,77.21492000000006
292,P S B Paharganj,110055,28.64596000000006,77.21492000000006
293,Possangipur,110058,28.624220000000037,77.08355000000006
294,Pushpa Bhawan,110062,28.528650000000027,77.23203000000007
295,Paschim Vihar,110063,28.66933000000006,77.09173000000004
296,Paschim Vihar Block B,110063,28.663950000000057,77.11753000000004
297,P T S Jharoda Kalan,110072,28.648610000000076,76.95470000000006
298,Patper Ganj,110092,28.629480000000058,77.30766000000006
299,Qr Madipur,110063,28.673460000000034,77.11820000000006
300,Rail Bhawan,110001,28.616160000000036,77.21204000000006
301,Rajghat Power House,110002,28.636640000000057,77.25278000000003
302,Rashtrapati Bhawan,110004,28.614250000000027,77.19888000000003
303,Red Fort,110006,28.65596000000005,77.23694000000006
304,Rly C A O,110007,28.68542000000008,77.06961000000007
305,Rana Pratap Bagh,110007,28.687220000000025,77.19553000000008
306,Roshan Area Road,110007,28.673105693457387,77.20175011884504
307,Roop Nagar,110007,28.68372000000005,77.19747000000007
308,Research Institute,110012,28.652150000000063,77.22923000000003
309,Ramesh Nagar H O,110015,28.80403000000007,77.02820000000008
310,R K Puram Sector I,110022,28.568140000000028,77.16769000000005
311,R K Puram Sector II,110022,28.560110000000066,77.18576000000007
312,R K Puram Sector III,110022,28.555120000000045,77.18263000000007
313,R K Puram Sector Iv,110022,28.56135000000006,77.17667000000006
314,R K Puram Sector XII,110022,28.57684000000006,77.17578000000003
315,R K Puram Sector IX,110022,28.573240000000055,77.17234000000008
316,R K Puram V,110022,28.565530000000024,77.17719000000005
317,R K Puram Sector VII,110022,28.569620000000043,77.16637000000003
318,R K Puram Sector VIII,110022,28.57299000000006,77.16420000000005
319,Rajouri Market,110027,28.517120000000034,77.10280000000006
320,Rajouri Garden,110027,28.645620000000065,77.12209000000007
321,Raghubarpura,110031,28.659670000000062,77.27083000000005
322,Rohtash Nagar,110032,28.67923292011679,77.28778791265361
323,Rani Bagh,110034,28.68584000000004,77.13188000000008
324,Radheypuri,110051,28.65719000000007,77.28881000000007
325,Ram Nagar,110051,28.682270000000074,77.29588000000007
326,Ravinder Rangsala,110060,28.74985860330272,77.25506016128607
327,Rajinder Nagar,110060,28.633505037815077,77.17386507763243
328,R K Puram West,110066,28.561550000000068,77.18808000000007
329,R K Puram,110066,28.565530000000024,77.17719000000005
330,Shastri Bhawan,110001,28.616750000000025,77.21680000000003
331,Supreme Court,110001,28.607420587575106,77.29111531301285
332,Sectt North,110001,28.688964251000073,77.21943500000003
333,Sansadiya Soudha,110001,28.539220000000057,77.25315000000006
334,Safdarjang Air Port,110003,28.583530000000053,77.21228000000008
335,Sat Nahar,110005,28.648930000000064,77.18282000000005
